start_station_name,end_station_name,total_trips,start_lat,start_lon,end_lat,end_lon
1 Ave & E 6 St,1 Ave & E 16 St,763,40.72633085971696,-73.98616880178452,40.73221853,-73.98165557
1 Ave & E 6 St,1 Ave & E 6 St,1176,40.72633085971696,-73.98616880178452,40.72633085971696,-73.98616880178452
1 Ave & E 6 St,Cooper Square & Astor Pl,990,40.72633085971696,-73.98616880178452,40.72951496224949,-73.99075269699097
1 Ave & E 6 St,E 11 St & 1 Ave,903,40.72633085971696,-73.98616880178452,40.72953837,-73.98426726
1 Ave & E 6 St,E 14 St & 1 Ave,1456,40.72633085971696,-73.98616880178452,40.73139303364151,-73.98286700248718
1 Ave & E 6 St,E 6 St & Avenue B,864,40.72633085971696,-73.98616880178452,40.72453734,-73.98185424
1 Ave & E 6 St,E 6 St & Avenue D,793,40.72633085971696,-73.98616880178452,40.72228087,-73.97668709
1 Ave & E 62 St,1 Ave & E 62 St,1496,40.761312485,-73.961192489,40.7612274,-73.96094022
1 Ave & E 62 St,1 Ave & E 68 St,5825,40.761312485,-73.961192489,40.76500525,-73.95818491
1 Ave & E 62 St,1 Ave & E 78 St,3321,40.761312485,-73.961192489,40.77140426,-73.9535166
1 Ave & E 62 St,3 Ave & E 62 St,986,40.761312485,-73.961192489,40.76312584,-73.96526895
1 Ave & E 62 St,E 63 St & 3 Ave,883,40.761312485,-73.961192489,40.763954,-73.9646
1 Ave & E 62 St,E 72 St & York Ave,1205,40.761312485,-73.961192489,40.76663814,-73.95348296
1 Ave & E 62 St,E 74 St & 1 Ave,1557,40.761312485,-73.961192489,40.7689738,-73.95482273
1 Ave & E 62 St,E 77 St & 3 Ave,770,40.761312485,-73.961192489,40.77314236,-73.95856158
1 Ave & E 62 St,E 84 St & 1 Ave,1237,40.761312485,-73.961192489,40.77565541,-73.95068615
1 Ave & E 62 St,E 85 St & 3 Ave,828,40.761312485,-73.961192489,40.77801203,-73.95407149
1 Ave & E 62 St,E 88 St & 1 Ave,916,40.761312485,-73.961192489,40.778301,-73.9488134
1 Ave & E 62 St,Queens Plaza North & Crescent St,1187,40.761312485,-73.961192489,40.75110165,-73.94073717
1 Ave & E 68 St,1 Ave & E 62 St,2325,40.764888167,-73.958232999,40.7612274,-73.96094022
1 Ave & E 68 St,1 Ave & E 68 St,1777,40.764888167,-73.958232999,40.76500525,-73.95818491
1 Ave & E 68 St,1 Ave & E 78 St,3902,40.764888167,-73.958232999,40.77140426,-73.9535166
1 Ave & E 68 St,2 Ave & E 55 St,1010,40.764888167,-73.958232999,40.757920208794026,-73.96638214588165
