,date,avgTemp
243,2022-09-01,25.9
244,2022-09-02,21.7
245,2022-09-03,22.8
246,2022-09-04,25.3
247,2022-09-05,25.8
248,2022-09-06,23.3
249,2022-09-07,20.8
250,2022-09-08,21.8
251,2022-09-09,21.9
252,2022-09-10,23.6
253,2022-09-11,23.2
254,2022-09-12,22.4
255,2022-09-13,24.7
256,2022-09-14,22.9
257,2022-09-15,21.8
258,2022-09-16,19.6
259,2022-09-17,20.8
260,2022-09-18,23.4
261,2022-09-19,25.6
262,2022-09-20,23.2
263,2022-09-21,22.0
264,2022-09-22,21.8
265,2022-09-23,15.1
266,2022-09-24,14.5
267,2022-09-25,19.2
268,2022-09-26,19.4
269,2022-09-27,19.7
270,2022-09-28,17.2
271,2022-09-29,16.6
272,2022-09-30,14.5
273,2022-10-01,14.8
274,2022-10-02,15.2
275,2022-10-03,11.5
276,2022-10-04,10.3
277,2022-10-05,13.8
278,2022-10-06,17.6
279,2022-10-07,20.3
280,2022-10-08,13.9
281,2022-10-09,12.3
282,2022-10-10,15.8
283,2022-10-11,17.0
284,2022-10-12,17.9
285,2022-10-13,18.7
286,2022-10-14,15.7
287,2022-10-15,16.2
288,2022-10-16,16.1
289,2022-10-17,16.6
290,2022-10-18,12.6
291,2022-10-19,10.0
292,2022-10-20,11.1
293,2022-10-21,13.4
294,2022-10-22,14.4
295,2022-10-23,14.7
296,2022-10-24,14.1
297,2022-10-25,16.9
298,2022-10-26,18.3
299,2022-10-27,16.9
300,2022-10-28,11.3
301,2022-10-29,10.8
302,2022-10-30,12.5
303,2022-10-31,14.4
304,2022-11-01,16.9
305,2022-11-02,17.6
306,2022-11-03,15.7
307,2022-11-04,15.2
308,2022-11-05,19.4
309,2022-11-06,19.8
310,2022-11-07,21.3
311,2022-11-08,13.2
312,2022-11-09,8.7
313,2022-11-10,12.6
314,2022-11-11,16.4
315,2022-11-12,19.7
316,2022-11-13,12.9
317,2022-11-14,6.3
318,2022-11-15,4.9
319,2022-11-16,7.3
320,2022-11-17,5.7
321,2022-11-18,4.5
322,2022-11-19,2.8
323,2022-11-20,2.7
324,2022-11-21,1.1
325,2022-11-22,6.6
326,2022-11-23,9.4
327,2022-11-24,8.1
328,2022-11-25,10.0
329,2022-11-26,9.3
330,2022-11-27,10.7
331,2022-11-28,12.2
332,2022-11-29,5.4
333,2022-11-30,8.4
334,2022-12-01,5.7
335,2022-12-02,3.4
336,2022-12-03,10.6
337,2022-12-04,7.0
338,2022-12-05,5.4
339,2022-12-06,9.3
340,2022-12-07,13.8
341,2022-12-08,11.6
342,2022-12-09,5.3
343,2022-12-10,2.2
344,2022-12-11,3.4
345,2022-12-12,1.6
346,2022-12-13,0.3
347,2022-12-14,1.7
348,2022-12-15,2.7
349,2022-12-16,6.2
350,2022-12-17,5.0
351,2022-12-18,3.1
352,2022-12-19,1.7
353,2022-12-20,1.9
354,2022-12-21,1.0
355,2022-12-22,3.8
356,2022-12-23,7.5
357,2022-12-24,-11.7
358,2022-12-25,-6.9
359,2022-12-26,-4.7
360,2022-12-27,-0.7
361,2022-12-28,3.4
362,2022-12-29,6.4
363,2022-12-30,9.3
364,2022-12-31,8.2
